,season,league_name,team,goals,goals_against,points,matches,dif_goals,pos,goals_diff,tot_teams,position,quart,quartile,weighed_rating,points_per_match
113,2008/2009,England Premier League,Manchester United,68,24,90.0,38,44,1,44,20,1,0.05,1.0,82.8854679802956,2.3684210526315788
114,2008/2009,England Premier League,Liverpool,77,27,86.0,38,50,2,50,20,2,0.1,1.0,81.50478468899522,2.263157894736842
115,2008/2009,England Premier League,Chelsea,68,24,83.0,38,44,3,44,20,3,0.15,1.0,83.68779904306221,2.1842105263157894
116,2008/2009,England Premier League,Arsenal,68,37,72.0,38,31,4,31,20,4,0.2,1.0,80.10167464114834,1.894736842105263
117,2008/2009,England Premier League,Everton,55,37,63.0,38,18,5,18,20,5,0.25,1.0,78.06698564593302,1.6578947368421053
118,2008/2009,England Premier League,Aston Villa,54,48,62.0,38,6,6,6,20,6,0.3,2.0,79.45555555555556,1.631578947368421
119,2008/2009,England Premier League,Fulham,39,34,53.0,38,5,7,5,20,7,0.35,2.0,74.74162679425837,1.394736842105263
120,2008/2009,England Premier League,Tottenham Hotspur,45,45,51.0,38,0,8,0,20,8,0.4,2.0,78.2200956937799,1.3421052631578947
121,2008/2009,England Premier League,West Ham United,42,45,51.0,38,-3,9,-3,20,9,0.45,2.0,74.59756097560977,1.3421052631578947
122,2008/2009,England Premier League,Manchester City,58,50,50.0,38,8,10,8,20,10,0.5,2.0,78.16385542168678,1.3157894736842106
123,2008/2009,England Premier League,Wigan Athletic,34,45,45.0,38,-11,11,-11,20,11,0.55,3.0,73.47966507177034,1.1842105263157894
124,2008/2009,England Premier League,Stoke City,38,55,45.0,38,-17,12,-17,20,12,0.6,3.0,70.13397129186603,1.1842105263157894
125,2008/2009,England Premier League,Bolton Wanderers,41,53,41.0,38,-12,13,-12,20,13,0.65,3.0,74.05263157894738,1.0789473684210527
126,2008/2009,England Premier League,Portsmouth,38,57,41.0,38,-19,14,-19,20,14,0.7,3.0,75.7595693779904,1.0789473684210527
127,2008/2009,England Premier League,Blackburn Rovers,40,60,41.0,38,-20,15,-20,20,15,0.75,3.0,75.14963503649635,1.0789473684210527
128,2008/2009,England Premier League,Sunderland,34,54,36.0,38,-20,16,-20,20,16,0.8,4.0,73.76368159203979,0.9473684210526315
129,2008/2009,England Premier League,Hull City,39,64,35.0,38,-25,17,-25,20,17,0.85,4.0,70.95933014354067,0.9210526315789473
130,2008/2009,England Premier League,Newcastle United,40,59,34.0,38,-19,18,-19,20,18,0.9,4.0,75.48564593301437,0.8947368421052632
131,2008/2009,England Premier League,Middlesbrough,28,57,32.0,38,-29,19,-29,20,19,0.95,4.0,73.91507177033492,0.8421052631578947
132,2008/2009,England Premier League,West Bromwich Albion,36,67,32.0,38,-31,20,-31,20,20,1.0,4.0,70.4136690647482,0.8421052631578947
133,2009/2010,England Premier League,Chelsea,103,32,86.0,38,71,1,71,20,1,0.05,1.0,83.64952153110046,2.263157894736842
134,2009/2010,England Premier League,Manchester United,86,28,85.0,38,58,2,58,20,2,0.1,1.0,82.12073170731706,2.236842105263158
135,2009/2010,England Premier League,Arsenal,83,41,75.0,38,42,3,42,20,3,0.15,1.0,80.91028708133972,1.9736842105263157
136,2009/2010,England Premier League,Tottenham Hotspur,67,41,70.0,38,26,4,26,20,4,0.2,1.0,78.7188995215311,1.8421052631578947
137,2009/2010,England Premier League,Manchester City,73,45,67.0,38,28,5,28,20,5,0.25,1.0,80.96237864077672,1.763157894736842
138,2009/2010,England Premier League,Aston Villa,52,39,64.0,38,13,6,13,20,6,0.3,2.0,79.85406698564596,1.6842105263157894
139,2009/2010,England Premier League,Liverpool,61,35,63.0,38,26,7,26,20,7,0.35,2.0,81.82177033492822,1.6578947368421053
140,2009/2010,England Premier League,Everton,60,49,61.0,38,11,8,11,20,8,0.4,2.0,78.81220095693782,1.605263157894737
141,2009/2010,England Premier League,Birmingham City,38,47,50.0,38,-9,9,-9,20,9,0.45,2.0,75.53033980582525,1.3157894736842106
142,2009/2010,England Premier League,Blackburn Rovers,41,55,50.0,38,-14,10,-14,20,10,0.5,2.0,74.3175,1.3157894736842106
143,2009/2010,England Premier League,Stoke City,34,48,47.0,38,-14,11,-14,20,11,0.55,3.0,73.16985645933013,1.236842105263158
144,2009/2010,England Premier League,Fulham,39,46,46.0,38,-7,12,-7,20,12,0.6,3.0,76.08373205741628,1.2105263157894737
145,2009/2010,England Premier League,Sunderland,48,56,44.0,38,-8,13,-8,20,13,0.65,3.0,75.31937799043061,1.1578947368421053
146,2009/2010,England Premier League,Bolton Wanderers,42,67,39.0,38,-25,14,-25,20,14,0.7,3.0,74.41777188328912,1.0263157894736843
147,2009/2010,England Premier League,Wolverhampton Wanderers,32,56,38.0,38,-24,15,-24,20,15,0.75,3.0,70.29066985645933,1.0
148,2009/2010,England Premier League,Wigan Athletic,37,79,36.0,38,-42,16,-42,20,16,0.8,4.0,74.1761658031088,0.9473684210526315
149,2009/2010,England Premier League,West Ham United,47,66,35.0,38,-19,17,-19,20,17,0.85,4.0,74.57296650717704,0.9210526315789473
150,2009/2010,England Premier League,Burnley,42,82,30.0,38,-40,18,-40,20,18,0.9,4.0,72.60311750599521,0.7894736842105263
151,2009/2010,England Premier League,Hull City,34,75,30.0,38,-41,19,-41,20,19,0.95,4.0,70.70913461538464,0.7894736842105263
152,2009/2010,England Premier League,Portsmouth,34,66,28.0,38,-32,20,-32,20,20,1.0,4.0,72.67344497607655,0.7368421052631579
153,2010/2011,England Premier League,Manchester United,78,37,80.0,38,41,1,41,20,1,0.05,1.0,81.84739454094291,2.1052631578947367
154,2010/2011,England Premier League,Chelsea,69,33,71.0,38,36,2,36,20,2,0.1,1.0,83.0263157894737,1.868421052631579
155,2010/2011,England Premier League,Manchester City,60,33,71.0,38,27,3,27,20,3,0.15,1.0,81.20334928229666,1.868421052631579
156,2010/2011,England Premier League,Arsenal,72,43,68.0,38,29,4,29,20,4,0.2,1.0,80.49160671462829,1.7894736842105263
157,2010/2011,England Premier League,Tottenham Hotspur,55,46,62.0,38,9,5,9,20,5,0.25,1.0,79.88157894736841,1.631578947368421
158,2010/2011,England Premier League,Liverpool,59,44,58.0,38,15,6,15,20,6,0.3,2.0,79.53110047846891,1.5263157894736843
159,2010/2011,England Premier League,Everton,51,45,54.0,38,6,7,6,20,7,0.35,2.0,78.08851674641149,1.4210526315789473
160,2010/2011,England Premier League,Fulham,49,43,49.0,38,6,8,6,20,8,0.4,2.0,76.82416267942584,1.2894736842105263
161,2010/2011,England Premier League,Aston Villa,48,59,48.0,38,-11,9,-11,20,9,0.45,2.0,77.8074162679426,1.263157894736842
162,2010/2011,England Premier League,Sunderland,45,56,47.0,38,-11,10,-11,20,10,0.5,2.0,74.94019138755979,1.236842105263158
163,2010/2011,England Premier League,West Bromwich Albion,56,71,47.0,38,-15,11,-15,20,11,0.55,3.0,72.28606356968214,1.236842105263158
164,2010/2011,England Premier League,Newcastle United,56,57,46.0,38,-1,12,-1,20,12,0.6,3.0,74.21531100478468,1.2105263157894737
165,2010/2011,England Premier League,Stoke City,46,48,46.0,38,-2,13,-2,20,13,0.65,3.0,74.23325358851675,1.2105263157894737
166,2010/2011,England Premier League,Bolton Wanderers,52,56,46.0,38,-4,14,-4,20,14,0.7,3.0,75.90104166666666,1.2105263157894737
167,2010/2011,England Premier League,Blackburn Rovers,46,59,43.0,38,-13,15,-13,20,15,0.75,3.0,75.35406698564591,1.131578947368421
168,2010/2011,England Premier League,Wigan Athletic,40,61,42.0,38,-21,16,-21,20,16,0.8,4.0,72.52751196172248,1.105263157894737
169,2010/2011,England Premier League,Wolverhampton Wanderers,46,66,40.0,38,-20,17,-20,20,17,0.85,4.0,71.6842105263158,1.0526315789473684
170,2010/2011,England Premier League,Birmingham City,37,58,39.0,38,-21,18,-21,20,18,0.9,4.0,76.24457831325303,1.0263157894736843
171,2010/2011,England Premier League,Blackpool,55,78,39.0,38,-23,19,-23,20,19,0.95,4.0,71.11510791366906,1.0263157894736843
172,2010/2011,England Premier League,West Ham United,43,70,33.0,38,-27,20,-27,20,20,1.0,4.0,74.01435406698563,0.868421052631579
173,2011/2012,England Premier League,Manchester City,93,29,89.0,38,64,1,64,20,1,0.05,1.0,82.76674641148327,2.3421052631578947
174,2011/2012,England Premier League,Manchester United,89,33,89.0,38,56,2,56,20,2,0.1,1.0,81.73897058823529,2.3421052631578947
175,2011/2012,England Premier League,Arsenal,74,49,70.0,38,25,3,25,20,3,0.15,1.0,80.36842105263158,1.8421052631578947
176,2011/2012,England Premier League,Tottenham Hotspur,66,41,69.0,38,25,4,25,20,4,0.2,1.0,81.02751196172248,1.8157894736842106
177,2011/2012,England Premier League,Newcastle United,56,51,65.0,38,5,5,5,20,5,0.25,1.0,76.32416267942583,1.7105263157894737
178,2011/2012,England Premier League,Chelsea,65,46,64.0,38,19,6,19,20,6,0.3,2.0,82.17105263157895,1.6842105263157894
179,2011/2012,England Premier League,Everton,50,40,56.0,38,10,7,10,20,7,0.35,2.0,77.00956937799042,1.4736842105263157
180,2011/2012,England Premier League,Liverpool,47,40,52.0,38,7,8,7,20,8,0.4,2.0,79.86961722488039,1.368421052631579
181,2011/2012,England Premier League,Fulham,48,51,52.0,38,-3,9,-3,20,9,0.45,2.0,76.48536585365854,1.368421052631579
182,2011/2012,England Premier League,West Bromwich Albion,45,52,47.0,38,-7,10,-7,20,10,0.5,2.0,73.40145985401458,1.236842105263158
183,2011/2012,England Premier League,Swansea City,44,51,47.0,38,-7,11,-7,20,11,0.55,3.0,72.08252427184466,1.236842105263158
184,2011/2012,England Premier League,Norwich City,52,66,47.0,38,-14,12,-14,20,12,0.6,3.0,69.98803827751196,1.236842105263158
185,2011/2012,England Premier League,Sunderland,45,46,45.0,38,-1,13,-1,20,13,0.65,3.0,74.80382775119618,1.1842105263157894
186,2011/2012,England Premier League,Stoke City,36,53,45.0,38,-17,14,-17,20,14,0.7,3.0,75.54066985645935,1.1842105263157894
187,2011/2012,England Premier League,Wigan Athletic,42,62,43.0,38,-20,15,-20,20,15,0.75,3.0,72.3468899521531,1.131578947368421
188,2011/2012,England Premier League,Aston Villa,37,53,38.0,38,-16,16,-16,20,16,0.8,4.0,75.2870813397129,1.0
189,2011/2012,England Premier League,Queens Park Rangers,43,66,37.0,38,-23,17,-23,20,17,0.85,4.0,72.78349282296652,0.9736842105263158
190,2011/2012,England Premier League,Bolton Wanderers,46,77,36.0,38,-31,18,-31,20,18,0.9,4.0,73.78463476070527,0.9473684210526315
191,2011/2012,England Premier League,Blackburn Rovers,48,78,31.0,38,-30,19,-30,20,19,0.95,4.0,73.38157894736842,0.8157894736842105
192,2011/2012,England Premier League,Wolverhampton Wanderers,40,82,25.0,38,-42,20,-42,20,20,1.0,4.0,73.06220095693779,0.6578947368421053
193,2012/2013,England Premier League,Manchester United,86,43,89.0,38,43,1,43,20,1,0.05,1.0,81.04405331510593,2.3421052631578947
194,2012/2013,England Premier League,Manchester City,66,34,78.0,38,32,2,32,20,2,0.1,1.0,82.67813852813853,2.0526315789473686
195,2012/2013,England Premier League,Chelsea,75,39,75.0,38,36,3,36,20,3,0.15,1.0,81.39888642059694,1.9736842105263157
196,2012/2013,England Premier League,Arsenal,72,37,73.0,38,35,4,35,20,4,0.2,1.0,79.89569947596263,1.9210526315789473
197,2012/2013,England Premier League,Tottenham Hotspur,66,46,72.0,38,20,5,20,20,5,0.25,1.0,80.17142287537025,1.894736842105263
198,2012/2013,England Premier League,Everton,55,40,63.0,38,15,6,15,20,6,0.3,2.0,77.76386420596945,1.6578947368421053
199,2012/2013,England Premier League,Liverpool,71,43,61.0,38,28,7,28,20,7,0.35,2.0,79.2240316700843,1.605263157894737
200,2012/2013,England Premier League,West Bromwich Albion,53,57,49.0,38,-4,8,-4,20,8,0.4,2.0,73.73612440191388,1.2894736842105263
201,2012/2013,England Premier League,Swansea City,47,51,46.0,38,-4,9,-4,20,9,0.45,2.0,74.21330029619504,1.2105263157894737
202,2012/2013,England Premier League,West Ham United,45,53,46.0,38,-8,10,-8,20,10,0.5,2.0,72.49373433583959,1.2105263157894737
203,2012/2013,England Premier League,Norwich City,41,58,44.0,38,-17,11,-17,20,11,0.55,3.0,72.82441900205059,1.1578947368421053
204,2012/2013,England Premier League,Fulham,50,60,43.0,38,-10,12,-10,20,12,0.6,3.0,76.36521417179311,1.131578947368421
205,2012/2013,England Premier League,Stoke City,34,45,42.0,38,-11,13,-11,20,13,0.65,3.0,75.10193096377307,1.105263157894737
206,2012/2013,England Premier League,Southampton,49,60,41.0,38,-11,14,-11,20,14,0.7,3.0,72.97392344497608,1.0789473684210527
207,2012/2013,England Premier League,Aston Villa,47,69,41.0,38,-22,15,-22,20,15,0.75,3.0,72.39238437001593,1.0789473684210527
208,2012/2013,England Premier League,Newcastle United,45,68,41.0,38,-23,16,-23,20,16,0.8,4.0,76.85043859649124,1.0789473684210527
209,2012/2013,England Premier League,Sunderland,41,54,39.0,38,-13,17,-13,20,17,0.85,4.0,75.08001822738665,1.0263157894736843
210,2012/2013,England Premier League,Wigan Athletic,47,73,36.0,38,-26,18,-26,20,18,0.9,4.0,73.91544771018454,0.9473684210526315
211,2012/2013,England Premier League,Reading,43,73,28.0,38,-30,19,-30,20,19,0.95,4.0,70.34782410571884,0.7368421052631579
212,2012/2013,England Premier League,Queens Park Rangers,30,60,25.0,38,-30,20,-30,20,20,1.0,4.0,74.7391774891775,0.6578947368421053
213,2013/2014,England Premier League,Manchester City,102,37,86.0,38,65,1,65,20,1,0.05,1.0,82.66622133847015,2.263157894736842
214,2013/2014,England Premier League,Liverpool,101,50,84.0,38,51,2,51,20,2,0.1,1.0,79.49796650717701,2.210526315789474
215,2013/2014,England Premier League,Chelsea,71,27,82.0,38,44,3,44,20,3,0.15,1.0,81.95669286853497,2.1578947368421053
216,2013/2014,England Premier League,Arsenal,68,41,79.0,38,27,4,27,20,4,0.2,1.0,80.47103646619198,2.0789473684210527
217,2013/2014,England Premier League,Everton,61,39,72.0,38,22,5,22,20,5,0.25,1.0,77.51042006239372,1.894736842105263
218,2013/2014,England Premier League,Tottenham Hotspur,55,51,69.0,38,4,6,4,20,6,0.3,2.0,78.55596729161324,1.8157894736842106
219,2013/2014,England Premier League,Manchester United,64,43,64.0,38,21,7,21,20,7,0.35,2.0,80.28450387331965,1.6842105263157894
220,2013/2014,England Premier League,Southampton,54,46,56.0,38,8,8,8,20,8,0.4,2.0,74.59617898050912,1.4736842105263157
221,2013/2014,England Premier League,Stoke City,45,52,50.0,38,-7,9,-7,20,9,0.45,2.0,74.75428447150934,1.3157894736842106
222,2013/2014,England Premier League,Newcastle United,43,59,49.0,38,-16,10,-16,20,10,0.5,2.0,76.46397527910685,1.2894736842105263
223,2013/2014,England Premier League,Crystal Palace,33,48,45.0,38,-15,11,-15,20,11,0.55,3.0,71.48081930031691,1.1842105263157894
224,2013/2014,England Premier League,Swansea City,54,54,42.0,38,0,12,0,20,12,0.6,3.0,75.68152144950707,1.105263157894737
225,2013/2014,England Premier League,West Ham United,40,51,40.0,38,-11,13,-11,20,13,0.65,3.0,73.2076699350623,1.0526315789473684
226,2013/2014,England Premier League,Sunderland,41,60,38.0,38,-19,14,-19,20,14,0.7,3.0,73.20586737823581,1.0
227,2013/2014,England Premier League,Aston Villa,39,61,38.0,38,-22,15,-22,20,15,0.75,3.0,73.53985532011848,1.0
228,2013/2014,England Premier League,Hull City,38,53,37.0,38,-15,16,-15,20,16,0.8,4.0,71.96565656565659,0.9736842105263158
229,2013/2014,England Premier League,West Bromwich Albion,43,59,36.0,38,-16,17,-16,20,17,0.85,4.0,73.74010214931269,0.9473684210526315
230,2013/2014,England Premier League,Norwich City,28,62,33.0,38,-34,18,-34,20,18,0.9,4.0,74.11199589883799,0.868421052631579
231,2013/2014,England Premier League,Fulham,40,85,32.0,38,-45,19,-45,20,19,0.95,4.0,75.08305319082834,0.8421052631578947
232,2013/2014,England Premier League,Cardiff City,32,74,30.0,38,-42,20,-42,20,20,1.0,4.0,71.94511657932712,0.7894736842105263
233,2014/2015,England Premier League,Chelsea,73,32,87.0,38,41,1,41,20,1,0.05,1.0,82.77294657097289,2.289473684210526
234,2014/2015,England Premier League,Manchester City,83,38,79.0,38,45,2,45,20,2,0.1,1.0,82.13779567720957,2.0789473684210527
235,2014/2015,England Premier League,Arsenal,71,36,75.0,38,35,3,35,20,3,0.15,1.0,79.00577580314425,1.9736842105263157
236,2014/2015,England Premier League,Manchester United,62,37,70.0,38,25,4,25,20,4,0.2,1.0,80.27417360147942,1.8421052631578947
237,2014/2015,England Premier League,Tottenham Hotspur,58,53,64.0,38,5,5,5,20,5,0.25,1.0,77.21460995145205,1.6842105263157894
238,2014/2015,England Premier League,Liverpool,52,48,62.0,38,4,6,4,20,6,0.3,2.0,78.61209972244662,1.631578947368421
239,2014/2015,England Premier League,Southampton,54,33,60.0,38,21,7,21,20,7,0.35,2.0,75.63063599080346,1.5789473684210527
240,2014/2015,England Premier League,Swansea City,46,49,56.0,38,-3,8,-3,20,8,0.4,2.0,74.96412891986064,1.4736842105263157
241,2014/2015,England Premier League,Stoke City,48,45,54.0,38,3,9,3,20,9,0.45,2.0,75.14122807017544,1.4210526315789473
242,2014/2015,England Premier League,Crystal Palace,47,51,48.0,38,-4,10,-4,20,10,0.5,2.0,73.2279650174387,1.263157894736842
243,2014/2015,England Premier League,Everton,48,50,47.0,38,-2,11,-2,20,11,0.55,3.0,78.13724859669836,1.236842105263158
244,2014/2015,England Premier League,West Ham United,44,47,47.0,38,-3,12,-3,20,12,0.6,3.0,73.73251028806582,1.236842105263158
245,2014/2015,England Premier League,West Bromwich Albion,38,51,44.0,38,-13,13,-13,20,13,0.65,3.0,73.66578159041396,1.1578947368421053
246,2014/2015,England Premier League,Leicester City,46,55,41.0,38,-9,14,-9,20,14,0.7,3.0,70.60466507177034,1.0789473684210527
247,2014/2015,England Premier League,Newcastle United,40,63,39.0,38,-23,15,-23,20,15,0.75,3.0,73.7523524720893,1.0263157894736843
248,2014/2015,England Premier League,Sunderland,31,53,38.0,38,-22,16,-22,20,16,0.8,4.0,73.55677830940988,1.0
249,2014/2015,England Premier League,Aston Villa,31,57,38.0,38,-26,17,-26,20,17,0.85,4.0,74.39097335413126,1.0
250,2014/2015,England Premier League,Hull City,33,51,35.0,38,-18,18,-18,20,18,0.9,4.0,72.33285486443381,0.9210526315789473
251,2014/2015,England Premier League,Burnley,28,53,33.0,38,-25,19,-25,20,19,0.95,4.0,70.47931890677107,0.868421052631579
252,2014/2015,England Premier League,Queens Park Rangers,42,73,30.0,38,-31,20,-31,20,20,1.0,4.0,73.72521265284422,0.7894736842105263
253,2015/2016,England Premier League,Leicester City,68,36,81.0,38,32,1,32,20,1,0.05,1.0,74.894762215456,2.1315789473684212
254,2015/2016,England Premier League,Arsenal,65,36,71.0,38,29,2,29,20,2,0.1,1.0,80.97520790612894,1.868421052631579
255,2015/2016,England Premier League,Tottenham Hotspur,69,35,70.0,38,34,3,34,20,3,0.15,1.0,78.95178286625654,1.8421052631578947
256,2015/2016,England Premier League,Manchester City,71,41,66.0,38,30,4,30,20,4,0.2,1.0,82.03058213716108,1.736842105263158
257,2015/2016,England Premier League,Manchester United,49,35,66.0,38,14,5,14,20,5,0.25,1.0,79.95837320574161,1.736842105263158
258,2015/2016,England Premier League,Southampton,59,41,63.0,38,18,6,18,20,6,0.3,2.0,76.40362838915472,1.6578947368421053
259,2015/2016,England Premier League,West Ham United,65,51,62.0,38,14,7,14,20,7,0.35,2.0,76.23095524267396,1.631578947368421
260,2015/2016,England Premier League,Liverpool,63,50,60.0,38,13,8,13,20,8,0.4,2.0,78.05197368421055,1.5789473684210527
261,2015/2016,England Premier League,Stoke City,41,55,51.0,38,-14,9,-14,20,9,0.45,2.0,76.56939870337,1.3421052631578947
262,2015/2016,England Premier League,Chelsea,59,53,50.0,38,6,10,6,20,10,0.5,2.0,82.44449001291107,1.3157894736842106
263,2015/2016,England Premier League,Everton,59,55,47.0,38,4,11,4,20,11,0.55,3.0,77.75157017243347,1.236842105263158
264,2015/2016,England Premier League,Swansea City,42,52,47.0,38,-10,12,-10,20,12,0.6,3.0,76.73612535125694,1.236842105263158
265,2015/2016,England Premier League,Watford,40,50,45.0,38,-10,13,-10,20,13,0.65,3.0,74.13350421508316,1.1842105263157894
